Ook	ook	BW()	B-ADVP	O
een	een	LID(onbep)	B-NP	O
gifmoord	gifmoord	N(soort,ev,basis,onz,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
Brussel	Brussel	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
				
Het	het	LID(bep)	B-NP	O
eerste	een	TW(rang,prenom,stan)	I-NP	O
officiële	officieel	ADJ(prenom,basis,met-e,stan)	I-NP	O
slachtoffer	slachtoffer	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Lab	Lab	SPEC(deeleigen)	B-NP	B-PER
X	X	SPEC(deeleigen)	I-NP	I-PER
valt	vallen	WW(pv,tgw,met-t)	B-VP	O
op	op	VZ(init)	B-PP	O
6	6	TW(hoofd,vrij)	B-NP	O
augustus	augustus	N(eigen,ev,basis,zijd,stan)	I-NP	O
1925	1925	TW(hoofd,vrij)	I-NP	O
.	.	LET()	O	O
				
Vladimir	Vladimir	SPEC(deeleigen)	B-NP	B-PER
Nestrovich	Nestrovich	SPEC(deeleigen)	I-NP	I-PER
,	,	LET()	O	O
chef	chef	N(soort,ev,basis,zijd,stan)	B-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
militaire	militair	ADJ(prenom,basis,met-e,stan)	I-NP	O
inlichtingendienst	inlichtingendienst	N(soort,ev,basis,zijd,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
Wenen	Wenen	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
,	,	LET()	O	O
vlucht	vluchten	WW(pv,tgw,ev)	B-VP	O
naar	naar	VZ(init)	B-PP	O
Duitsland	Duitsland	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
en	en	VG(neven)	O	O
wordt	worden	WW(pv,tgw,met-t)	B-VP	O
in	in	VZ(init)	B-PP	O
Mainz	Mainz	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
vergiftigd	vergiftigen	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
Er	er	VNW(aanw,adv-pron,3,getal)	B-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
een	een	LID(onbep)	B-NP	O
opstoot	opstoot	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
vergiftigde	vergiftigen	WW(vd,prenom,met-e)	B-NP	O
tegenstanders	tegenstander	N(soort,mv,basis)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Russische	Russisch	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
communisten	communist	N(soort,mv,basis)	I-NP	O
in	in	VZ(init)	B-PP	O
heel	heel	ADJ(prenom,basis,zonder)	B-NP	O
Europa	Europa	N(eigen,ev,basis,onz,stan)	I-NP	B-LOC
,	,	LET()	O	O
die	die	VNW(betr,pron,persoon,getal)	O	O
zich	zich	VNW(refl,pron,3,getal)	O	O
onder	onder	VZ(init)	B-PP	O
Stalin	Stalin	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
en	en	VG(neven)	O	O
tijdens	tijdens	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Koude	koud	ADJ(prenom,basis,met-e,stan)	I-NP	B-EVE
Oorlog	oorlog	N(soort,ev,basis,zijd,stan)	I-NP	I-EVE
zal	zullen	WW(pv,tgw,ev)	B-VP	O
herhalen	herhalen	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
