Noord-Korea's	Noord-Korea	N(eigen,ev,basis,gen)	B-NP	B-MISC
nucleaire	nucleair	ADJ(prenom,basis,met-e,stan)	I-NP	O
tests	test	N(soort,mv,basis)	I-NP	O
zijn	zijn	WW(pv,tgw,mv)	B-VP	O
zo	zo	BW()	B-AP	O
zwaar	zwaar	ADJ(vrij,basis,zonder)	I-AP	O
dat	dat	VG(onder)	O	O
een	een	LID(onbep)	B-NP	O
hele	heel	ADJ(prenom,basis,met-e,stan)	I-NP	O
berg	berg	N(soort,ev,basis,zijd,stan)	I-NP	O
verschuift	verschuiven	WW(pv,tgw,met-t)	B-VP	O
				
De	de	LID(bep)	B-NP	O
nucleaire	nucleair	ADJ(prenom,basis,met-e,stan)	I-NP	O
tests	test	N(soort,mv,basis)	I-NP	O
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
Noord-Korea	Noord-Korea	N(eigen,ev,basis,onz,stan)	I-NP	B-LOC
ondergronds	ondergronds	ADJ(vrij,basis,zonder)	B-AP	O
uitvoert	uitvoeren	WW(pv,tgw,met-t)	B-VP	O
,	,	LET()	O	O
zijn	zijn	WW(pv,tgw,mv)	B-VP	O
zo	zo	BW()	B-AP	O
krachtig	krachtig	ADJ(vrij,basis,zonder)	I-AP	O
geworden	worden	WW(vd,vrij,zonder)	B-VP	O
dat	dat	VG(onder)	O	O
ze	ze	VNW(pers,pron,3,mv)	B-NP	O
het	het	LID(bep)	B-NP	O
landschap	landschap	N(soort,ev,basis,onz,stan)	I-NP	O
veranderen	veranderen	WW(inf,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
De	de	LID(bep)	B-NP	O
berg	berg	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
waaronder	waaronder	BW()	B-ADVP	O
de	de	LID(bep)	B-NP	O
bommen	bom	N(soort,mv,basis)	I-NP	O
tot	tot	VZ(init)	B-PP	O
ontploffing	ontploffing	N(soort,ev,basis,zijd,stan)	B-NP	O
worden	worden	WW(inf,vrij,zonder)	B-VP	O
gebracht	brengen	WW(vd,vrij,zonder)	I-VP	O
,	,	LET()	O	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
zichtbaar	zichtbaar	ADJ(vrij,basis,zonder)	B-AP	O
'	'	LET()	O	O
verplaatst	verplaatsen	WW(vd,vrij,zonder)	B-VP	O
'	'	LET()	O	O
bij	bij	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
laatste	laat	ADJ(prenom,sup,met-e,stan)	I-NP	O
test	test	N(soort,ev,basis,zijd,stan)	I-NP	O
en	en	VG(neven)	O	O
dreigt	dreigen	WW(pv,tgw,met-t)	B-VP	O
nu	nu	BW()	B-ADVP	O
in	in	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
storten	storten	WW(inf,vrij,zonder)	I-VP	O
,	,	LET()	O	O
vrezen	vrezen	WW(pv,tgw,mv)	B-VP	O
wetenschappers	wetenschapper	N(soort,mv,basis)	B-NP	O
.	.	LET()	O	O
				
Als	als	VG(onder)	O	O
dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
gebeurt	gebeuren	WW(pv,tgw,met-t)	B-VP	O
,	,	LET()	O	O
wordt	worden	WW(pv,tgw,met-t)	B-VP	O
de	de	LID(bep)	B-NP	O
omgeving	omgeving	N(soort,ev,basis,zijd,stan)	I-NP	O
gehuld	hullen	WW(vd,vrij,zonder)	B-VP	O
in	in	VZ(init)	B-PP	O
radioactieve	radioactief	ADJ(prenom,basis,met-e,stan)	B-NP	O
straling	straling	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
