Merkel	Merkel	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
en	en	VG(neven)	O	O
Macron	Macron	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
worstelen	worstelen	WW(inf,vrij,zonder)	B-VP	O
om	om	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
macht	macht	N(soort,ev,basis,zijd,stan)	I-NP	O
met	met	VZ(init)	B-PP	O
Europees	Europees	ADJ(prenom,basis,zonder)	B-NP	B-ORG
Parlement	parlement	N(soort,ev,basis,onz,stan)	I-NP	I-ORG
				
EU	EU	N(eigen,ev,basis,zijd,stan)	B-NP	B-LOC
-	-	LET()	O	O
Zowel	zowel	BW()	B-NP	O
regeringsleiders	regeringsleider	N(soort,mv,basis)	I-NP	O
als	als	VG(onder)	O	O
Europarlementsleden	europarlementslid	N(soort,mv,basis)	B-NP	B-MISC
willen	willen	WW(pv,tgw,mv)	B-VP	O
voorzitter	voorzitter	N(soort,ev,basis,zijd,stan)	B-NP	O
Europese	Europees	ADJ(prenom,basis,met-e,stan)	B-NP	B-ORG
Commissie	commissie	N(soort,ev,basis,zijd,stan)	I-NP	I-ORG
kiezen	kiezen	WW(inf,vrij,zonder)	B-VP	O
				
Een	een	LID(onbep)	B-NP	O
parlement	parlement	N(soort,ev,basis,onz,stan)	I-NP	O
dat	dat	VNW(betr,pron,3,ev)	B-NP	O
een	een	LID(onbep)	B-NP	O
middenvinger	middenvinger	N(soort,ev,basis,zijd,stan)	I-NP	O
uitsteekt	uitsteken	WW(pv,tgw,met-t)	B-VP	O
naar	naar	VZ(init)	B-PP	O
regeringsleiders	regeringsleider	N(soort,mv,basis)	B-NP	O
en	en	VG(neven)	O	O
zich	zich	VNW(refl,pron,3,getal)	B-NP	O
meer	veel	VNW(onbep,grad,comp)	I-NP	O
macht	macht	N(soort,ev,basis,zijd,stan)	I-NP	O
toe-eigent	toe-eigenen	WW(pv,tgw,met-t)	B-VP	O
:	:	LET()	O	O
je	je	VNW(pers,pron,2v,ev)	B-NP	O
ziet	zien	WW(pv,tgw,met-t)	B-VP	O
het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
in	in	VZ(init)	B-PP	O
geen	geen	VNW(onbep,det)	B-NP	O
enkel	enkel	VNW(onbep,det)	I-NP	O
land	land	N(soort,ev,basis,onz,stan)	I-NP	O
,	,	LET()	O	O
maar	maar	VG(neven)	O	O
bij	bij	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Europese	Europees	ADJ(prenom,basis,met-e,stan)	I-NP	B-ORG
Unie	unie	N(soort,ev,basis,zijd,stan)	I-NP	I-ORG
gebeurt	gebeuren	WW(pv,tgw,met-t)	B-VP	O
het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
wel	wel	BW()	B-ADVP	O
.	.	LET()	O	O
				
Daar	daar	VNW(aanw,adv-pron,3o,getal)	B-NP	O
zijn	zijn	WW(pv,tgw,mv)	B-VP	O
Angela	Angela	SPEC(deeleigen)	B-NP	B-PER
Merkel	Merkel	SPEC(deeleigen)	I-NP	I-PER
en	en	VG(neven)	O	O
Emmanuel	Emmanuel	SPEC(deeleigen)	B-NP	B-PER
Macron	Macron	SPEC(deeleigen)	I-NP	I-PER
met	met	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Europese	Europees	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
assemblee	assemblee	N(soort,ev,basis,zijd,stan)	I-NP	O
aan	aan	VZ(init)	O	O
het	het	LID(bep)	B-VP	O
armworstelen	armworstelen	WW(inf,nom,zonder,zonder-n)	I-VP	O
over	over	VZ(init)	B-PP	O
wie	wie	VNW(vb,pron,3p,getal)	B-NP	O
straks	straks	BW()	B-ADVP	O
de	de	LID(bep)	B-NP	O
voorzitter	voorzitter	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Europese	Europees	ADJ(prenom,basis,met-e,stan)	I-NP	B-ORG
Commissie	commissie	N(soort,ev,basis,zijd,stan)	I-NP	I-ORG
mag	mogen	WW(pv,tgw,ev)	B-VP	O
benoemen	benoemen	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
En	en	VG(neven)	O	O
het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
het	het	LID(bep)	B-NP	O
parlement	parlement	N(soort,ev,basis,onz,stan)	I-NP	O
dat	dat	VNW(betr,pron,3,ev)	B-NP	O
de	de	LID(bep)	B-NP	O
arm	arm	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
machtigste	machtig	ADJ(prenom,sup,met-e,stan)	I-NP	O
man	man	N(soort,ev,basis,zijd,stan)	I-NP	O
en	en	VG(neven)	O	O
vrouw	vrouw	N(soort,ev,basis,zijd,stan)	B-NP	O
van	van	VZ(init)	B-PP	O
Europa	Europa	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
lijkt	lijken	WW(pv,tgw,met-t)	B-VP	O
te	te	VZ(init)	I-VP	O
gaan	gaan	WW(inf,vrij,zonder)	I-VP	O
omwringen	omwringen	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
