Erdogan	Erdogan	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
wil	willen	WW(pv,tgw,ev)	B-VP	O
komen	komen	WW(inf,vrij,zonder)	I-VP	O
onderzoeken	onderzoeken	WW(inf,vrij,zonder)	I-VP	O
of	of	VG(neven)	O	O
ons	ons	VNW(bez,det,1,mv)	B-NP	O
land	land	N(soort,ev,basis,onz,stan)	I-NP	O
islamofoob	islamofoob	N(soort,ev,basis,zijd,stan)	I-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
				
Het	het	LID(bep)	B-NP	O
Turkse	Turks	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
parlement	parlement	N(soort,ev,basis,onz,stan)	I-NP	O
maakt	maken	WW(pv,tgw,met-t)	B-VP	O
zich	zich	VNW(refl,pron,3,getal)	B-NP	O
zorgen	zorg	N(soort,mv,basis)	I-NP	O
over	over	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
behandeling	behandeling	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
moslims	moslim	N(soort,mv,basis)	B-NP	O
in	in	VZ(init)	B-PP	O
Europa	Europa	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
.	.	LET()	O	O
				
Onder	onder	VZ(init)	B-PP	O
meer	veel	VNW(onbep,grad,comp)	B-NP	O
in	in	VZ(init)	B-PP	O
ons	ons	VNW(bez,det,1,mv)	B-NP	O
land	land	N(soort,ev,basis,onz,stan)	I-NP	O
wil	willen	WW(pv,tgw,ev)	B-VP	O
het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
daarom	daarom	BW()	B-ADVP	O
onderzoek	onderzoek	N(soort,ev,basis,onz,stan)	B-NP	O
komen	komen	WW(inf,vrij,zonder)	B-VP	O
voeren	voeren	WW(inf,vrij,zonder)	I-VP	O
naar	naar	VZ(init)	B-PP	O
islamofobie	islamofobie	N(soort,ev,basis,zijd,stan)	B-NP	O
.	.	LET()	O	O
				
